"row" "x" "id" "date" "time" "antenna" "Time_of_day"
"249" "824" "0007A5AAD5" "2020-11-17" "14:14:45" "4" "Afternoon"
"250" "825" "0007A5AAD5" "2020-11-17" "14:14:46" "4" "Afternoon"
"251" "826" "0007A5DCCA" "2020-11-17" "14:14:49" "4" "Afternoon"
"252" "827" "0007A5DCCA" "2020-11-17" "14:20:48" "4" "Afternoon"
"253" "828" "0007A5DCCA" "2020-11-17" "14:20:49" "4" "Afternoon"
"254" "829" "0007A5DCCA" "2020-11-17" "14:20:50" "4" "Afternoon"
"255" "830" "0007A5DCCA" "2020-11-17" "14:20:51" "4" "Afternoon"
"256" "831" "0007A5DCCA" "2020-11-17" "14:20:52" "4" "Afternoon"
"257" "832" "0007A5DCCA" "2020-11-17" "14:20:58" "4" "Afternoon"
"258" "833" "0007A56748" "2020-11-17" "14:25:31" "4" "Afternoon"
"259" "834" "0007A05274" "2020-11-17" "14:27:21" "1" "Afternoon"
"260" "835" "0007A05274" "2020-11-17" "14:27:23" "1" "Afternoon"
"261" "836" "0007A05274" "2020-11-17" "14:27:24" "1" "Afternoon"
"262" "837" "0007A05274" "2020-11-17" "14:27:25" "1" "Afternoon"
"263" "838" "0007A05274" "2020-11-17" "14:27:26" "1" "Afternoon"
"264" "839" "0007A05274" "2020-11-17" "14:27:27" "1" "Afternoon"
"265" "840" "0007A05274" "2020-11-17" "14:27:29" "1" "Afternoon"
"266" "841" "0007E04FF8" "2020-11-17" "14:27:30" "1" "Afternoon"
"267" "842" "0007E04FF8" "2020-11-17" "14:27:31" "1" "Afternoon"
"268" "843" "0007E04FF8" "2020-11-17" "14:27:32" "1" "Afternoon"
"269" "844" "0007E04FF8" "2020-11-17" "14:27:33" "1" "Afternoon"
"270" "845" "0007E04FF8" "2020-11-17" "14:27:34" "1" "Afternoon"
"271" "846" "0007E04FF8" "2020-11-17" "14:27:35" "1" "Afternoon"
"272" "847" "0007E04FF8" "2020-11-17" "14:27:36" "1" "Afternoon"
"273" "848" "0007E04FF8" "2020-11-17" "14:27:37" "1" "Afternoon"
"274" "849" "0007E04FF8" "2020-11-17" "14:27:38" "1" "Afternoon"
"275" "854" "0007A5AAD5" "2020-11-17" "14:37:02" "4" "Afternoon"
"276" "855" "0007A5AAD5" "2020-11-17" "14:37:04" "4" "Afternoon"
"277" "856" "0007A5AAD5" "2020-11-17" "14:37:05" "4" "Afternoon"
"278" "857" "0007A05274" "2020-11-17" "14:37:06" "4" "Afternoon"
"279" "858" "0007A05274" "2020-11-17" "14:37:07" "4" "Afternoon"
"280" "859" "0007A05274" "2020-11-17" "14:37:11" "4" "Afternoon"
"281" "860" "0007EA009A" "2020-11-17" "14:37:13" "4" "Afternoon"
"282" "861" "0007E04FF8" "2020-11-17" "14:37:14" "4" "Afternoon"
"283" "862" "0007A05274" "2020-11-17" "14:37:15" "4" "Afternoon"
"284" "863" "0007A04979" "2020-11-17" "14:37:16" "4" "Afternoon"
"285" "864" "0007E04FF8" "2020-11-17" "14:37:17" "4" "Afternoon"
"286" "865" "0007D3ECE8" "2020-11-17" "14:37:18" "4" "Afternoon"
"287" "866" "0007E04FF8" "2020-11-17" "14:37:19" "4" "Afternoon"
"288" "867" "0007E04FF8" "2020-11-17" "14:37:20" "4" "Afternoon"
"289" "868" "0007D3ECE8" "2020-11-17" "14:37:21" "4" "Afternoon"
"290" "869" "0007D3ECE8" "2020-11-17" "14:37:22" "4" "Afternoon"
"291" "870" "0007E04FF8" "2020-11-17" "14:37:23" "4" "Afternoon"
"292" "871" "0007E05866" "2020-11-17" "14:37:24" "4" "Afternoon"
"293" "872" "0007A5C741" "2020-11-17" "14:37:26" "4" "Afternoon"
"294" "873" "0007A5C741" "2020-11-17" "14:37:27" "4" "Afternoon"
"295" "874" "0007A5C741" "2020-11-17" "14:37:28" "4" "Afternoon"
"296" "875" "0007E51C59" "2020-11-17" "14:37:29" "4" "Afternoon"
"297" "876" "0007A5DCCA" "2020-11-17" "14:37:30" "4" "Afternoon"
"298" "877" "0007E04FF8" "2020-11-17" "14:37:32" "4" "Afternoon"
"299" "878" "0007E04FF8" "2020-11-17" "14:37:33" "4" "Afternoon"
"300" "879" "0007A04979" "2020-11-17" "14:37:34" "4" "Afternoon"
"301" "880" "0007E04FF8" "2020-11-17" "14:37:34" "4" "Afternoon"
"302" "881" "0007A04979" "2020-11-17" "14:37:35" "4" "Afternoon"
"303" "882" "0007A04979" "2020-11-17" "14:37:36" "4" "Afternoon"
"304" "883" "0007A04979" "2020-11-17" "14:37:37" "4" "Afternoon"
"305" "884" "0007E4CFFA" "2020-11-17" "14:37:42" "4" "Afternoon"
"306" "885" "0007A04979" "2020-11-17" "14:37:53" "1" "Afternoon"
"307" "886" "0007A04979" "2020-11-17" "14:37:54" "1" "Afternoon"
"308" "908" "0007EA009A" "2020-11-17" "14:47:26" "3" "Afternoon"
"309" "909" "0007EA009A" "2020-11-17" "14:47:27" "3" "Afternoon"
"310" "910" "0007EA009A" "2020-11-17" "14:47:28" "3" "Afternoon"
"311" "911" "0007EA009A" "2020-11-17" "14:47:29" "3" "Afternoon"
"312" "912" "0007EA009A" "2020-11-17" "14:47:30" "3" "Afternoon"
"313" "913" "0007EA009A" "2020-11-17" "14:47:31" "3" "Afternoon"
"314" "914" "0007E51C59" "2020-11-17" "14:47:57" "3" "Afternoon"
"315" "916" "0007A04979" "2020-11-17" "14:48:02" "3" "Afternoon"
"316" "917" "0007E51C59" "2020-11-17" "14:48:08" "3" "Afternoon"
"317" "918" "0007E51C59" "2020-11-17" "14:48:09" "3" "Afternoon"
"318" "919" "0007E51C59" "2020-11-17" "14:48:10" "3" "Afternoon"
"319" "920" "0007E51C59" "2020-11-17" "14:48:11" "3" "Afternoon"
"320" "921" "0007DF9187" "2020-11-17" "14:48:12" "3" "Afternoon"
"321" "922" "0007DF1C00" "2020-11-17" "14:48:13" "1" "Afternoon"
"322" "929" "0007DF94E1" "2020-11-17" "14:48:21" "3" "Afternoon"
"323" "930" "0007DF9187" "2020-11-17" "14:48:26" "3" "Afternoon"
"324" "932" "0007DF9187" "2020-11-17" "14:48:30" "3" "Afternoon"
"325" "933" "0007DF9187" "2020-11-17" "14:48:31" "3" "Afternoon"
"326" "940" "0007DEB6AC" "2020-11-17" "14:48:42" "2" "Afternoon"
"327" "941" "0007EA009A" "2020-11-17" "14:48:43" "4" "Afternoon"
"328" "942" "0007DEB6AC" "2020-11-17" "14:48:44" "2" "Afternoon"
"329" "943" "0007DEB6AC" "2020-11-17" "14:48:45" "2" "Afternoon"
"330" "944" "0007DEB6AC" "2020-11-17" "14:48:46" "2" "Afternoon"
"331" "945" "0007DEB6AC" "2020-11-17" "14:48:47" "2" "Afternoon"
"332" "946" "0007DEB6AC" "2020-11-17" "14:48:51" "2" "Afternoon"
"333" "947" "0007DEB6AC" "2020-11-17" "14:48:52" "2" "Afternoon"
"334" "972" "0007DF94E1" "2020-11-17" "14:55:57" "2" "Afternoon"
"335" "973" "0007DF94E1" "2020-11-17" "14:55:58" "2" "Afternoon"
"336" "974" "0007DF94E1" "2020-11-17" "14:55:59" "2" "Afternoon"
"337" "975" "0007DF94E1" "2020-11-17" "14:56:00" "2" "Afternoon"
"338" "976" "0007DF94E1" "2020-11-17" "14:56:01" "2" "Afternoon"
"339" "977" "0007DF94E1" "2020-11-17" "14:56:02" "2" "Afternoon"
"340" "978" "0007DF94E1" "2020-11-17" "14:56:03" "2" "Afternoon"
"341" "979" "0007DF94E1" "2020-11-17" "14:56:04" "2" "Afternoon"
"342" "980" "0007DF94E1" "2020-11-17" "14:56:05" "2" "Afternoon"
"343" "994" "0007DF1C00" "2020-11-17" "14:57:59" "1" "Afternoon"
"344" "995" "0007A65EB5" "2020-11-17" "14:58:18" "1" "Afternoon"
"345" "996" "0007A65EB5" "2020-11-17" "14:58:19" "1" "Afternoon"
