"","tag_id","test_id","unique_exp_antenna","unique_bold_antenna","latency_exp1","latency_exp2","latency_exp3","latency_exp4","latency_exp5","latency_bold1","latency_bold2","latency_bold3","latency_bold4"
"172","0007A39A35","mixed9","5","4","0.0691666666666667","0.0747222222222222","0.0913888888888889","0.123888888888889","1.15027777777778","0.0663888888888889","0.08","0.789722222222222","2.01277777777778"
"173","0007A5A140","mixed9","5","3","0.0702777777777778","0.12","0.181111111111111","0.530833333333333","0.748333333333333","0.335","0.966388888888889","4.22694444444444",NA
"174","0007A38960","mixed9","5","4","0.0825","3.93361111111111","4.71305555555556","4.72111111111111","4.85833333333333","0.125","0.166944444444444","0.175","0.240277777777778"
"175","0007A5CE03","mixed9","5","3","0.109444444444444","0.386944444444444","0.652777777777778","0.873611111111111","0.955277777777778","0.232777777777778","0.896388888888889","2.55638888888889",NA
"176","0007A5D530","mixed9","5","4","0.114444444444444","0.280277777777778","0.288611111111111","0.334722222222222","0.638333333333333","0.236111111111111","0.430833333333333","0.809166666666667","1.03555555555556"
"177","0007A5D910","mixed9","4","3","0.147222222222222","0.180277777777778","1.20111111111111","1.78416666666667",NA,"0.159722222222222","0.8275","1.86416666666667",NA
"178","0007A5CE1B","mixed10","5","3","0.00277777777777778","0.0638888888888889","0.13","0.535555555555556","0.613055555555555","0.661388888888889","0.976111111111111","2.46472222222222",NA
"179","0007A5D8EE","mixed10","5","2","0.00805555555555556","0.0411111111111111","0.0419444444444444","0.490277777777778","1.18444444444444","0.0208333333333333","0.100555555555556",NA,NA
"180","0007A5DCE6","mixed10","5","4","0.0108333333333333","0.0561111111111111","0.0966666666666667","0.145555555555556","0.215","0.0833333333333333","0.201388888888889","1.32333333333333","1.92861111111111"
"181","0007A5D8AB","mixed10","5","4","0.0133333333333333","0.0297222222222222","2.83333333333333","2.85472222222222","4.13166666666667","0.2525","0.444166666666667","1.74166666666667","4.84805555555556"
"182","0007A3A5A6","mixed10","5","3","0.0158333333333333","0.0416666666666667","0.527777777777778","0.748611111111111","1.12666666666667","0.065","0.230277777777778","2.46138888888889",NA
"183","0007A5D940","mixed10","5","2","0.0163888888888889","0.0455555555555556","0.0866666666666667","0.923333333333333","1.12638888888889","0.374722222222222","0.600555555555556",NA,NA
"184","0007A5CE08","mixed10","5","4","0.0175","0.0666666666666667","0.129444444444444","0.202777777777778","4.85611111111111","0.978333333333333","0.992222222222222","1.165","1.72861111111111"
"185","0007A5A781","mixed10","5","1","0.0183333333333333","1.05722222222222","1.93555555555556","2.14888888888889","2.81666666666667","0.321666666666667",NA,NA,NA
