Identifier;date;time;antenna;Antenna number;Transponder type;id;Weight;Input status;Output status;Event;GPS coordinates
201412;05-11-20;13:25:36;42;-;Trovan Unique;0007EA009A;-;0;0;-;
201413;05-11-20;13:25:36;42;-;Trovan Unique;0007EA009A;-;0;0;-;
201414;05-11-20;13:25:37;42;-;Trovan Unique;0007EA009A;-;0;0;-;
201415;05-11-20;13:25:52;42;-;Trovan Unique;0007A5AAD5;-;0;0;-;
201416;05-11-20;13:25:53;42;-;Trovan Unique;0007A5AAD5;-;0;0;-;
201417;05-11-20;13:25:53;42;-;Trovan Unique;0007A5AAD5;-;0;0;-;
201418;05-11-20;13:25:54;42;-;Trovan Unique;0007A5AAD5;-;0;0;-;
201419;05-11-20;13:25:54;42;-;Trovan Unique;0007A5AAD5;-;0;0;-;
201420;05-11-20;13:25:55;42;-;Trovan Unique;0007A5AAD5;-;0;0;-;
201421;05-11-20;13:25:56;42;-;Trovan Unique;0007A5AAD5;-;0;0;-;
201422;05-11-20;13:25:56;42;-;Trovan Unique;0007EA009A;-;0;0;-;
201423;05-11-20;13:25:57;42;-;Trovan Unique;0007EA009A;-;0;0;-;
201424;05-11-20;13:25:58;42;-;Trovan Unique;0007EA009A;-;0;0;-;
201425;05-11-20;13:26:23;42;-;Trovan Unique;0007A56748;-;0;0;-;
201426;05-11-20;13:26:23;42;-;Trovan Unique;0007A56748;-;0;0;-;
201427;05-11-20;13:26:24;42;-;Trovan Unique;0007A56748;-;0;0;-;
201428;05-11-20;13:26:24;42;-;Trovan Unique;0007A56748;-;0;0;-;
201429;05-11-20;13:26:25;42;-;Trovan Unique;0007A56748;-;0;0;-;
201430;05-11-20;13:26:26;42;-;Trovan Unique;0007A56748;-;0;0;-;
201431;05-11-20;13:26:26;42;-;Trovan Unique;0007A56748;-;0;0;-;
201432;05-11-20;13:26:27;42;-;Trovan Unique;0007A56748;-;0;0;-;
201433;05-11-20;13:26:28;42;-;Trovan Unique;0007A56748;-;0;0;-;
201434;05-11-20;13:26:28;42;-;Trovan Unique;0007A56748;-;0;0;-;
201435;05-11-20;13:27:09;42;-;Trovan Unique;0007A56748;-;0;0;-;
201436;05-11-20;13:28:15;41;-;Trovan Unique;0007A03565;-;0;0;-;
201437;05-11-20;13:28:18;41;-;Trovan Unique;0007A03565;-;0;0;-;
201438;05-11-20;13:28:18;41;-;Trovan Unique;0007A03565;-;0;0;-;
201439;05-11-20;13:28:19;41;-;Trovan Unique;0007A03565;-;0;0;-;
201440;05-11-20;13:28:20;41;-;Trovan Unique;0007A03565;-;0;0;-;
201441;05-11-20;13:28:20;41;-;Trovan Unique;0007A03565;-;0;0;-;
201442;05-11-20;13:32:29;44;-;Trovan Unique;0007A56748;-;0;0;-;
201443;05-11-20;13:32:30;44;-;Trovan Unique;0007A56748;-;0;0;-;
201444;05-11-20;13:32:30;44;-;Trovan Unique;0007A56748;-;0;0;-;
201445;05-11-20;13:32:31;44;-;Trovan Unique;0007A56748;-;0;0;-;
201446;05-11-20;13:32:32;44;-;Trovan Unique;0007A56748;-;0;0;-;
201447;05-11-20;13:38:52;43;-;Trovan Unique;0007A56748;-;0;0;-;
201448;05-11-20;13:38:59;43;-;Trovan Unique;0007A56748;-;0;0;-;
201449;05-11-20;13:39:00;43;-;Trovan Unique;0007A56748;-;0;0;-;
201450;05-11-20;13:39:03;43;-;Trovan Unique;0007EA009A;-;0;0;-;
201451;05-11-20;13:39:04;43;-;Trovan Unique;0007EA009A;-;0;0;-;
201452;05-11-20;13:39:05;43;-;Trovan Unique;0007EA009A;-;0;0;-;
201453;05-11-20;13:39:06;43;-;Trovan Unique;0007EA009A;-;0;0;-;
201454;05-11-20;13:39:07;43;-;Trovan Unique;0007EA009A;-;0;0;-;
201455;05-11-20;13:39:07;43;-;Trovan Unique;0007EA009A;-;0;0;-;
201456;05-11-20;13:39:08;43;-;Trovan Unique;0007EA009A;-;0;0;-;
201457;05-11-20;13:39:09;43;-;Trovan Unique;0007EA009A;-;0;0;-;
201458;05-11-20;13:39:09;43;-;Trovan Unique;0007EA009A;-;0;0;-;
201459;05-11-20;13:39:10;43;-;Trovan Unique;0007EA009A;-;0;0;-;
201460;05-11-20;13:39:11;43;-;Trovan Unique;0007EA009A;-;0;0;-;
201461;05-11-20;13:39:11;43;-;Trovan Unique;0007EA009A;-;0;0;-;
201462;05-11-20;13:39:12;43;-;Trovan Unique;0007EA009A;-;0;0;-;
201463;05-11-20;13:39:13;43;-;Trovan Unique;0007EA009A;-;0;0;-;
201464;05-11-20;13:39:15;43;-;Trovan Unique;0007EA009A;-;0;0;-;
201465;05-11-20;13:39:21;43;-;Trovan Unique;0007EA009A;-;0;0;-;
201466;05-11-20;13:39:22;43;-;Trovan Unique;0007EA009A;-;0;0;-;
201467;05-11-20;13:39:22;43;-;Trovan Unique;0007EA009A;-;0;0;-;
201468;05-11-20;13:39:23;43;-;Trovan Unique;0007EA009A;-;0;0;-;
201469;05-11-20;13:39:24;43;-;Trovan Unique;0007EA009A;-;0;0;-;
201470;05-11-20;13:39:24;43;-;Trovan Unique;0007EA009A;-;0;0;-;
201471;05-11-20;13:39:25;43;-;Trovan Unique;0007EA009A;-;0;0;-;
201472;05-11-20;13:39:25;43;-;Trovan Unique;0007EA009A;-;0;0;-;
201473;05-11-20;13:39:26;43;-;Trovan Unique;0007EA009A;-;0;0;-;
201474;05-11-20;13:39:27;43;-;Trovan Unique;0007EA009A;-;0;0;-;
201475;05-11-20;13:39:27;43;-;Trovan Unique;0007EA009A;-;0;0;-;
201476;05-11-20;13:39:28;43;-;Trovan Unique;0007EA009A;-;0;0;-;
201477;05-11-20;13:39:29;43;-;Trovan Unique;0007EA009A;-;0;0;-;
201478;05-11-20;13:39:29;43;-;Trovan Unique;0007EA009A;-;0;0;-;
201479;05-11-20;13:39:30;43;-;Trovan Unique;0007EA009A;-;0;0;-;
201480;05-11-20;13:39:31;43;-;Trovan Unique;0007EA009A;-;0;0;-;
201481;05-11-20;13:39:31;43;-;Trovan Unique;0007EA009A;-;0;0;-;
201482;05-11-20;13:39:32;43;-;Trovan Unique;0007EA009A;-;0;0;-;
201483;05-11-20;13:39:35;43;-;Trovan Unique;0007A03565;-;0;0;-;
201484;05-11-20;13:39:36;43;-;Trovan Unique;0007E04FF8;-;0;0;-;
201485;05-11-20;13:39:37;43;-;Trovan Unique;0007EA009A;-;0;0;-;
201486;05-11-20;13:39:55;43;-;Trovan Unique;0007EA009A;-;0;0;-;
201487;05-11-20;13:39:55;43;-;Trovan Unique;0007EA009A;-;0;0;-;
201488;05-11-20;13:39:56;43;-;Trovan Unique;0007EA009A;-;0;0;-;
201489;05-11-20;13:39:57;43;-;Trovan Unique;0007EA009A;-;0;0;-;
201490;05-11-20;13:39:57;43;-;Trovan Unique;0007EA009A;-;0;0;-;
201491;05-11-20;13:39:58;43;-;Trovan Unique;0007EA009A;-;0;0;-;
201492;05-11-20;13:39:58;43;-;Trovan Unique;0007EA009A;-;0;0;-;
201493;05-11-20;13:39:59;43;-;Trovan Unique;0007EA009A;-;0;0;-;
201494;05-11-20;13:40:00;43;-;Trovan Unique;0007EA009A;-;0;0;-;
201495;05-11-20;13:40:04;43;-;Trovan Unique;0007EA009A;-;0;0;-;
201496;05-11-20;13:40:04;43;-;Trovan Unique;0007EA009A;-;0;0;-;
201497;05-11-20;13:40:05;43;-;Trovan Unique;0007EA009A;-;0;0;-;
201498;05-11-20;13:43:15;43;-;Trovan Unique;0007A03565;-;0;0;-;
201499;05-11-20;13:43:16;43;-;Trovan Unique;0007A03565;-;0;0;-;
201500;05-11-20;13:43:16;43;-;Trovan Unique;0007A03565;-;0;0;-;
201501;05-11-20;13:43:17;43;-;Trovan Unique;0007A03565;-;0;0;-;
201502;05-11-20;13:43:18;43;-;Trovan Unique;0007A03565;-;0;0;-;
201503;05-11-20;13:44:11;42;-;Trovan Unique;0007A56748;-;0;0;-;
201504;05-11-20;13:44:11;42;-;Trovan Unique;0007A56748;-;0;0;-;
201505;05-11-20;13:44:12;42;-;Trovan Unique;0007A56748;-;0;0;-;
201506;05-11-20;13:44:12;42;-;Trovan Unique;0007A56748;-;0;0;-;
201507;05-11-20;13:44:13;42;-;Trovan Unique;0007A56748;-;0;0;-;
201508;05-11-20;13:44:14;42;-;Trovan Unique;0007A56748;-;0;0;-;
201509;05-11-20;13:44:14;42;-;Trovan Unique;0007A56748;-;0;0;-;
201510;05-11-20;13:44:16;42;-;Trovan Unique;0007A5AAD5;-;0;0;-;
201511;05-11-20;13:44:16;42;-;Trovan Unique;0007A5AAD5;-;0;0;-;
201512;05-11-20;13:44:17;42;-;Trovan Unique;0007A5AAD5;-;0;0;-;
201513;05-11-20;13:44:17;42;-;Trovan Unique;0007A5AAD5;-;0;0;-;
201514;05-11-20;13:44:18;42;-;Trovan Unique;0007A5AAD5;-;0;0;-;
201515;05-11-20;13:44:19;42;-;Trovan Unique;0007A5AAD5;-;0;0;-;
201516;05-11-20;13:48:21;42;-;Trovan Unique;0007A56748;-;0;0;-;
201517;05-11-20;13:59:26;44;-;Trovan Unique;0007A03565;-;0;0;-;
201518;05-11-20;13:59:26;44;-;Trovan Unique;0007A03565;-;0;0;-;
201519;05-11-20;13:59:27;44;-;Trovan Unique;0007A03565;-;0;0;-;
201520;05-11-20;13:59:28;44;-;Trovan Unique;0007A03565;-;0;0;-;
201521;05-11-20;13:59:28;44;-;Trovan Unique;0007A03565;-;0;0;-;
201522;05-11-20;13:59:29;44;-;Trovan Unique;0007A03565;-;0;0;-;
201523;05-11-20;13:59:30;44;-;Trovan Unique;0007A03565;-;0;0;-;
201524;05-11-20;13:59:30;44;-;Trovan Unique;0007A03565;-;0;0;-;
201525;05-11-20;13:59:31;44;-;Trovan Unique;0007A03565;-;0;0;-;
201526;05-11-20;13:59:31;44;-;Trovan Unique;0007A03565;-;0;0;-;
201527;05-11-20;13:59:32;44;-;Trovan Unique;0007A03565;-;0;0;-;
201528;05-11-20;13:59:33;44;-;Trovan Unique;0007A03565;-;0;0;-;
201529;05-11-20;13:59:34;44;-;Trovan Unique;0007A03565;-;0;0;-;
201530;05-11-20;13:59:34;44;-;Trovan Unique;0007A03565;-;0;0;-;
201531;05-11-20;13:59:35;44;-;Trovan Unique;0007A03565;-;0;0;-;
201532;05-11-20;13:59:35;44;-;Trovan Unique;0007A03565;-;0;0;-;
201533;05-11-20;13:59:36;44;-;Trovan Unique;0007A03565;-;0;0;-;
201534;05-11-20;13:59:37;44;-;Trovan Unique;0007A03565;-;0;0;-;
201535;05-11-20;13:59:37;44;-;Trovan Unique;0007A03565;-;0;0;-;
201536;05-11-20;14:03:19;41;-;Trovan Unique;0007A56748;-;0;0;-;
201537;05-11-20;14:03:20;41;-;Trovan Unique;0007A56748;-;0;0;-;
201538;05-11-20;14:03:20;41;-;Trovan Unique;0007A56748;-;0;0;-;
201539;05-11-20;14:03:21;41;-;Trovan Unique;0007A56748;-;0;0;-;
201540;05-11-20;14:03:39;42;-;Trovan Unique;0007A56748;-;0;0;-;
201541;05-11-20;14:03:40;42;-;Trovan Unique;0007A56748;-;0;0;-;
201542;05-11-20;14:03:40;42;-;Trovan Unique;0007A56748;-;0;0;-;
201543;05-11-20;14:03:41;42;-;Trovan Unique;0007A56748;-;0;0;-;
201544;05-11-20;14:03:42;42;-;Trovan Unique;0007A56748;-;0;0;-;
201545;05-11-20;14:03:42;42;-;Trovan Unique;0007A56748;-;0;0;-;
201546;05-11-20;14:03:43;42;-;Trovan Unique;0007A56748;-;0;0;-;
201547;05-11-20;14:03:50;41;-;Trovan Unique;0007EA009A;-;0;0;-;
201548;05-11-20;14:03:50;41;-;Trovan Unique;0007EA009A;-;0;0;-;
201549;05-11-20;14:03:51;41;-;Trovan Unique;0007EA009A;-;0;0;-;
201550;05-11-20;14:03:51;41;-;Trovan Unique;0007EA009A;-;0;0;-;
201551;05-11-20;14:03:57;41;-;Trovan Unique;0007A5AAD5;-;0;0;-;
201552;05-11-20;14:03:58;41;-;Trovan Unique;0007A5AAD5;-;0;0;-;
